Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
0.26175000	-0.00068876	0.26175000	0.00005622	0.26175000	-0.00048896	0.26175000	-0.00118836	0.26175000	-0.00152329	0.26175000	-0.00046521	0.26175000	-0.00069629	0.26175000	-0.00112149	0.26175000	-0.00224151	0.26175000	-0.00253597
0.26645000	-0.00071879	0.26645000	0.00003213	0.26645000	-0.00052145	0.26645000	-0.00124454	0.26645000	-0.00156900	0.26645000	-0.00049737	0.26645000	-0.00072815	0.26645000	-0.00116661	0.26645000	-0.00231035	0.26645000	-0.00261364
0.27115000	-0.00074845	0.27115000	0.00000704	0.27115000	-0.00055373	0.27115000	-0.00130222	0.27115000	-0.00161541	0.27115000	-0.00052965	0.27115000	-0.00076050	0.27115000	-0.00121239	0.27115000	-0.00238034	0.27115000	-0.00269490
0.27585000	-0.00077851	0.27585000	-0.00001746	0.27585000	-0.00058751	0.27585000	-0.00136020	0.27585000	-0.00166220	0.27585000	-0.00056361	0.27585000	-0.00079324	0.27585000	-0.00125785	0.27585000	-0.00245144	0.27585000	-0.00277824
0.28055000	-0.00080905	0.28055000	-0.00004305	0.28055000	-0.00062095	0.28055000	-0.00142022	0.28055000	-0.00171032	0.28055000	-0.00059721	0.28055000	-0.00082715	0.28055000	-0.00130497	0.28055000	-0.00252428	0.28055000	-0.00286553
0.28525000	-0.00084002	0.28525000	-0.00006997	0.28525000	-0.00065517	0.28525000	-0.00147926	0.28525000	-0.00175829	0.28525000	-0.00063151	0.28525000	-0.00086120	0.28525000	-0.00135197	0.28525000	-0.00259926	0.28525000	-0.00295597
0.28995000	-0.00087127	0.28995000	-0.00009612	0.28995000	-0.00069003	0.28995000	-0.00154071	0.28995000	-0.00180765	0.28995000	-0.00066618	0.28995000	-0.00089539	0.28995000	-0.00140048	0.28995000	-0.00267657	0.28995000	-0.00305083
0.29465000	-0.00090317	0.29465000	-0.00012341	0.29465000	-0.00072574	0.29465000	-0.00160278	0.29465000	-0.00185752	0.29465000	-0.00070199	0.29465000	-0.00093123	0.29465000	-0.00144970	0.29465000	-0.00275543	0.29465000	-0.00315069
0.29935000	-0.00093594	0.29935000	-0.00015121	0.29935000	-0.00076172	0.29935000	-0.00166601	0.29935000	-0.00190791	0.29935000	-0.00073884	0.29935000	-0.00096626	0.29935000	-0.00149782	0.29935000	-0.00283759	0.29935000	-0.00325904
0.30405000	-0.00096912	0.30405000	-0.00017981	0.30405000	-0.00079832	0.30405000	-0.00173047	0.30405000	-0.00196069	0.30405000	-0.00077583	0.30405000	-0.00100218	0.30405000	-0.00154782	0.30405000	-0.00292216	0.30405000	-0.00337375
